ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
2,0.000000493261488,7.44401,7.44401,5.92218,5.93025
2,0.0000006738073061,7.44401,7.44401,5.92218,5.93025
2,0.0000009204373274,7.44401,7.44401,5.92218,5.93025
2,0.0000012573399933,7.44401,7.44401,5.92218,5.93025
2,0.0000017175573085,7.44401,7.44401,5.92218,5.93025
2,0.0000023462254629,7.44401,7.44401,5.92218,5.93025
2,0.0000032050016007,7.44401,7.44401,5.92218,5.93025
2,0.0000043781108947,7.44401,7.44401,5.92218,5.93025
2,0.0000059806069993,7.44401,7.44401,5.92218,5.93025
2,0.0000081696560321,7.444,7.444,5.92218,5.93025
2,0.0000111599507694,7.444,7.444,5.92218,5.93025
2,0.0000152447668159,7.444,7.444,5.92218,5.93025
2,0.0000208247258499,7.444,7.444,5.92218,5.93025
2,0.0000284470869223,7.444,7.444,5.92218,5.93025
2,0.0000388594193364,7.444,7.444,5.92217,5.93024
2,0.0000530829211189,7.444,7.444,5.92217,5.93024
2,0.0000725125738531,7.444,7.444,5.92217,5.93024
2,0.0000990539566394,7.44399,7.44399,5.92216,5.93023
2,0.0001353101373258,7.44399,7.44399,5.92216,5.93023
2,0.0001848369705188,7.44398,7.44398,5.92215,5.93022
2,0.0002524918409351,7.44397,7.44397,5.92214,5.93021
2,0.0003449100553848,7.44396,7.44396,5.92212,5.93019
2,0.0004711556059197,7.44394,7.44394,5.9221,5.93017
2,0.0006436101282749,7.44392,7.44392,5.92207,5.93013
2,0.0008791872409318,7.44389,7.44389,5.92202,5.93009
2,0.0012009913620985,7.44385,7.44385,5.92196,5.93003
2,0.0016405836944431,7.44379,7.44379,5.92189,5.92996
2,0.0022410776158871,7.44371,7.44371,5.92178,5.92985
2,0.0030613670594446,7.4436,7.4436,5.92163,5.9297
2,0.0041819025839241,7.44345,7.44345,5.92143,5.9295
2,0.0057125816283538,7.44325,7.44325,5.92115,5.92922
2,0.007803526793296,7.44297,7.44297,5.92077,5.92885
2,0.0106598092378135,7.44259,7.44259,5.92026,5.92833
2,0.014561561201301,7.44207,7.44207,5.91955,5.92763
2,0.0198914502022299,7.44136,7.44136,5.91859,5.92667
2,0.0271722094683391,7.44039,7.44039,5.91727,5.92535
2,0.0371179054259467,7.43906,7.43906,5.91547,5.92356
2,0.0507039703493694,7.43725,7.43725,5.91302,5.92111
2,0.069262868679885,7.43477,7.43477,5.90966,5.91777
2,0.0946147795667969,7.43139,7.43139,5.90508,5.9132
2,0.1292461124278174,7.42675,7.42675,5.89881,5.90696
2,0.1520000000000002,7.4237,7.4237,5.8947,5.90286
2,0.1765533635885163,7.42041,7.42041,5.89026,5.89843
2,0.2411762304404132,7.41172,7.41172,5.87858,5.88678
2,0.3040000000000002,7.40325,7.40325,5.86722,5.87546
2,0.3294526535615128,7.39982,7.39982,5.86262,5.87087
2,0.4500404154278323,7.3835,7.3835,5.84081,5.84914
2,0.4560000000000002,7.38269,7.38269,5.83974,5.84806
2,0.6080000000000002,7.36204,7.36204,5.81225,5.82067
2,0.6147662595185013,7.36112,7.36112,5.81103,5.81945
2,0.7600000000000002,7.34132,7.34132,5.78477,5.79327
2,0.8397858078659043,7.33042,7.33042,5.77035,5.77889
2,0.9120000000000001,7.32055,7.32055,5.75729,5.76588
2,1,7.3085,7.3085,5.74138,5.75002
2,1.064,7.29973,7.29973,5.72981,5.73848
2,1.14716803691431,7.28832,7.28832,5.71477,5.7235
2,1.216,7.27888,7.27888,5.70233,5.71109
2,1.368,7.25799,7.25799,5.67485,5.68369
2,1.52,7.23709,7.23709,5.64736,5.6563
2,1.56705971045412,7.23061,7.23061,5.63886,5.64782
2,1.672,7.21616,7.21616,5.61988,5.6289
2,1.824,7.19522,7.19522,5.5924,5.60151
2,1.976,7.17426,7.17426,5.56492,5.57411
2,2,7.17095,7.17095,5.56058,5.56979
2,2.128,7.15329,7.15329,5.53744,5.54672
2,2.14064204816402,7.15155,7.15155,5.53515,5.54444
2,2.28,7.13231,7.13231,5.50995,5.51932
2,2.432,7.11132,7.11132,5.48247,5.49193
2,2.584,7.09033,7.09033,5.45499,5.46453
2,2.736,7.06933,7.06933,5.4275,5.43714
2,2.888,7.04832,7.04832,5.40002,5.40974
2,2.92416960744906,7.04332,7.04332,5.39348,5.40322
2,3,7.03284,7.03284,5.37977,5.38955
2,3.04,7.02731,7.02731,5.37254,5.38235
2,3.192,7.0063,7.0063,5.34506,5.35495
2,3.344,6.98528,6.98528,5.31758,5.32755
2,3.496,6.96426,6.96426,5.2901,5.30016
2,3.648,6.94323,6.94323,5.26261,5.27276
2,3.8,6.92221,6.92221,5.23513,5.24537
2,3.952,6.90118,6.90118,5.20765,5.21797
